abbreviation,definition,comment,source,is_prepositive
§,параграф,Умовна позначка при цифрах,dstu,1
%,відсоток (процент),Умовна позначка при цифрах,dstu,0
AT,акціонерне товариство,,dstu,0
№,номер,Умовна позначка при цифрах,dstu,1
№ пор.,номер порядковий,Умовна позначка при цифрах,dstu,1
p.,річка,При назві,dstu,1
p.,рік,При цифрах,dstu,0
pp.,роки,При цифрах,dstu,0
X.,Харків,В області вихідних даних,dstu,0
а. с.,авторське свідоцтво,,dstu,0
авт. арк.,авторський аркуш,,dstu,0
автореф.,автореферат,,dstu,0
агр.,агрономічний,,dstu,0
аграр.,аграрний,,dstu,0
адапт.,адаптація,,dstu,0
адм.,адміністративний,,dstu,0
адмін.,адміністрація,,dstu,0
АЕС,атомна електрична станція,,dstu,0
акад.,академік,При прізвищі,dstu,1
акад.,академія,,dstu,0
акомп.,акомпанемент,,dstu,0
алф.,алфавіт,,dstu,0
альб.,альбом,,dstu,0
альм.,альманах,,dstu,0
амер.,американський,,dstu,0
аналіт.,аналітичний,,dstu,0
англ.,англійський,,dstu,0
анот.,анотація,,dstu,0
антол.,антологія,,dstu,0
АПК,агропромисловий комплекс,,dstu,0
арк.,аркуш,При цифрах і в області приміток,dstu,1
арт.,артист,При прізвищі,dstu,1
арх.,архів,,dstu,0
археол.,археологія,,dstu,0
архіт.,архітектура,,dstu,0
асист.,асистент,При прізвищі,dstu,1
асоц.,асоціація,,dstu,0
асп.,аспірант,При прізвищі,dstu,1
атл.,атлас,,dstu,0
б-ка,бібліотека,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
б-р,бульвар,При назві,dstu,1
б-чка,бібліотечка,,dstu,0
б.,будинок,При цифрах,dstu,1
б. в.,без видавництва,,dstu,0
б. д.,без даних,,dstu,0
б. м-бу,без масштабу,,dstu,0
б. м.,без місця,,dstu,0
б. р.,без року,,dstu,0
б. т.,без тиражу,,dstu,0
б. тит. арк.,без титульного аркуша,В області приміток,dstu,0
б. ц.,без ціни,,dstu,0
безкошт.,безкоштовно,,dstu,0
безпл.,безплатно,,dstu,0
берез.,березень,,dstu,0
бібл.,бібліотечний,,dstu,0
біблійн.,біблійний,,dstu,0
бібліогр.,бібліографія,,dstu,0
бібліографозн.,бібліографознавство,,dstu,0
бібліол.,бібліологія,,dstu,0
бібліотечно-бібліографічна класифікація,ББК,,dstu,0
біобібліогр.,біобібліографія,,dstu,0
біогр.,біографія,,dstu,0
болг.,болгарський,,dstu,0
брош.,брошура,,dstu,0
буд-во,будівництво,,dstu,0
буд.,будівельний,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
будів.,будівний,,dstu,0
бух.,бухгалтерський,,dstu,0
бюдж.,бюджетний,,dstu,0
бюл.,бюлетень,,dstu,0
в т. ч.,в тому числі,,dstu,0
в.,вік,У значенні: «Століття» та при цифрах,dstu,0
в. о.,виконуючий обов'язки,При назві посади,dstu,1
ВВВ,Велика Вітчизняна війна,,dstu,0
введ.,введення,,dstu,0
ввод.,вводиться,,dstu,0
вдоскон.,вдосконалення,,dstu,0
вдсх,водосховище,При назві,dstu,0
верес.,вересень,,dstu,0
вет.,ветеринарний,,dstu,0
вивч.,вивчення,,dstu,0
вид-во,видавництво,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
вид.,видавець,При прізвищі,dstu,1
вид.,видання,,dstu,0
вид. від.,видавничий відділ,В області вихідних даних,dstu,0
викл.,викладач,При прізвищі або назві установи,dstu,1
викон.,виконавець,При прізвищі,dstu,1
викон.,виконання,,dstu,0
виконком,виконавчий комітет,,dstu,0
використ.,використання,,dstu,0
виникн.,виникнення,,dstu,0
вип.,випуск,,dstu,0
вип. дан.,випускні дані,,dstu,0
випр.,виправлення,,dstu,0
вир-во,виробництво,,dstu,0
вироб.,виробничий,,dstu,0
вист.,виставка,,dstu,0
вих. дан.,вихідні дані,,dstu,0
вищ.,вищий,,dstu,0
від-ня,відділення,,dstu,0
від.,відділ,,dstu,0
відб.,відбиток,,dstu,0
відеофоногр.,відеофонограма,,dstu,0
відкр.,відкриття,,dstu,0
відом.,відомості,,dstu,0
відп.,відповідальний,,dstu,0
відред.,відредаговано,,dstu,0
відродж.,відродження,,dstu,0
вінниц.,вінницький,,dstu,0
віршов.,віршований,,dstu,0
вісн.,вісник,,dstu,0
вітчизн.,вітчизняний,,dstu,0
вкл. арк.,вкладений аркуш,,dstu,0
включ.,включаючи (включно),,dstu,0
внутр.,внутрішній,,dstu,0
ВО,виробниче об'єднання,,dstu,0
волин.,волинський,,dstu,0
впровадж.,впроваджування (впровадження),,dstu,0
вугіл.,вугільний,,dstu,0
вул.,вулиця,При назві,dstu,1
вчен.,вчений,,dstu,0
г,грам,При цифрах,dstu,0
газ.,газета,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
ген.,генеральний,,dstu,0
генет.,генетичний,,dstu,0
геодез.,геодезія,,dstu,0
геологорозв.,геологорозвідувальний,,dstu,0
гір.,гірський,,dstu,0
гірн.,гірничий,,dstu,0
гірничорят.,гірничорятувальний,,dstu,0
гл.,глава,При цифрах,dstu,1
глобал.,глобальний,,dstu,0
год,година,При цифрах,dstu,0
голланд.,голландський,,dstu,0
голов.,головний,,dstu,0
гологр.,голографія,,dstu,0
госп-во,господарство,,dstu,0
госп.,господарський,,dstu,0
господарч.,господарчий,,dstu,0
грав.,гравюра,,dstu,0
грн,гривня,При цифрах,dstu,0
громад.,громадський,,dstu,0
ГРУД.,грудень,,dstu,0
гуманіт.,гуманітарний,,dstu,0
д-р,доктор,У назві вченого ступеня,dstu,0
Д.,Дніпропетровськ,В області вихідних даних,dstu,0
д. чл.,дійсний член,При прізвищі,dstu,1
декор.,декоративний,,dstu,0
демокр.,демократія,,dstu,0
деп.,депутат,При прізвищі,dstu,1
депоз.,депозитарій,,dstu,0
депон.,депонований,,dstu,0
держ.,державний,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
держадмін.,державна адміністрація,,dstu,0
деф.,дефектний,В області приміток,dstu,0
див.,дивись,,dstu,0
дип.,дипломатичний,,dstu,0
дир.,директор,При прізвищі,dstu,1
дириг.,диригент,При прізвищі,dstu,1
дис.,дисертація,,dstu,0
дит.,дитячий,,dstu,0
діагр.,діаграма,,dstu,0
діапоз.,діапозитив,В області кількісної характеристики,dstu,0
діяльн.,діяльність,,dstu,0
дніпропетр.,дніпропетровський,,dstu,0
добр. т-во,добровільне товариство,,dstu,0
довід.,довідник,,dstu,0
довідково-інформаційний фонд,ДІФ,,dstu,0
дод.,додаток,,dstu,0
додрук.,додрукування,,dstu,0
док.,документ,,dstu,0
докум.,документальний,,dstu,0
донец.,донецький,,dstu,0
доопрац.,доопрацьований,,dstu,0
доп.,доповідь,,dstu,0
допов.,доповнення,,dstu,0
допом.,допоміжний,,dstu,0
дор.,дорожній,,dstu,0
доруч.,доручення,,dstu,0
дослід.,дослідний,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
дослідж.,дослідження,,dstu,0
доц.,доцент,При прізвищі або назві установи,dstu,1
драм.,драматичний,,dstu,0
друк.,друкарня,,dstu,0
духовн.,духовний,,dstu,0
дф,діафільм,,dstu,0
екол.,екологія,,dstu,0
екон.,економічний,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
експерим.,експериментальний,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
електрон.,електроніка,,dstu,0
енерг.,енергетичний,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
енцикл.,енциклопедія,,dstu,0
ЕОМ,електронна обчислювальна машина,,dstu,0
ЕЦОМ,електронна цифрова обчислювальна машина,,dstu,0
євр.,єврейський,,dstu,0
європ.,європейський,,dstu,0
ж-ст,журналіст,При прізвищі,dstu,1
житомир.,житомирський,,dstu,0
жовт.,жовтень,,dstu,0
журн.,журнал,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
з-д,завод,"Скорочується у заголовку опису, якщо не є першим словом заголовка",dstu,0
з-ця,залізниця,,dstu,0
забезп.,забезпечення,,dstu,0
зав.,завідувач (завідуючий),При назві установи або посади,dstu,1
заг.,загальний,,dstu,0
загот.,заготовчий,,dstu,0
закарпат.,закарпатський,,dstu,0
закінч.,закінчення,,dstu,0
закл.,заклад,,dstu,0
зам.,замовлення,У значенні: «Друкарський термін».,dstu,0
зап.,записки,У значенні: «Наукові роботи»,dstu,0
запоріз.,запорізький,,dstu,0
зареєстр.,зареєстрований,,dstu,0
засід.,засідання,,dstu,0
засл.,заслужений,,dstu,0
засн.,засновник,,dstu,0
заст.,заступник,При назві посади,dstu,1
застосув.,застосування,,dstu,0
затв.,затверджений (затверджено),,dstu,0
заув.,зауваження,,dstu,0
зах.,західний,,dstu,0
зб.,збірник (збірка),,dstu,0
здоб.,здобуття,,dstu,0
земел.,земельний,,dstu,0
земл-во,землеробство,,dstu,0
землероб.,землеробський,,dstu,0
зібр.,зібрання,,dstu,0
змін.,із (зі) змінами із (зі),,dstu,0
зобр.,зображення,,dstu,0
зрошув.,зрошуваний,,dstu,0
зрошувал.,зрошувальний,,dstu,0
ІА,інформаційне агентство,,dstu,0
іл.,ілюстратор,При прізвищі,dstu,1
ілюстр.,ілюстрація,,dstu,0
ім.,імені,Скорочується також у заголовку опису,dstu,0
ін-т,інститут,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
ін.,та інші та,,dstu,0
інв.,інвентарний,,dstu,0
інд.,індекс,,dstu,0
індивід.,індивідуальний,,dstu,0
інж.,інженерний,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
інозем.,іноземний,,dstu,0
інсп.,інспектор,При прізвищі,dstu,1
інспек.,інспекція,,dstu,0
інстр.,інструкція,,dstu,0
інструкт.,інструктивний,,dstu,0
інструм.,інструмент,,dstu,0
інтегр.,інтеграція,,dstu,0
інтенс.,інтенсивний,,dstu,0
інтерн.,інтернаціональний,,dstu,0
інф-ка,інформатика,,dstu,0
інфл.,інфляція,,dstu,0
інформ.,інформаційний,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
інформаційно-обчислювальний центр,ІОЦ,,dstu,0
інформаційно-пошукова мова,ІПМ,,dstu,0
інформаційно-пошукова система,ІПС,,dstu,0
інформаційно-рекламне агентство,ІРА,,dstu,0
ісп.,іспанський,,dstu,0
іст.,історичний,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
історіогр.,історіографія,,dstu,0
італ.,італійський,,dstu,0
к-сть,кількість,,dstu,0
к-т,комплект,,dstu,0
к.,карта,При цифрах,dstu,0
к.,копійка,При цифрах,dstu,0
К.,Київ,В області вихідних даних,dstu,0
каб.,кабінет,,dstu,0
канд.,кандидат,,dstu,0
карпат.,карпатський,,dstu,0
карт.,картка (карточка),,dstu,0
картогр.,картографія,,dstu,0
картограф.,картографування,,dstu,0
кас.,магнітна фонограма на касеті мф/,,dstu,0
кат.,каталог,,dstu,0
кат.,магнітна фонограма на катушці мф/,,dstu,0
каф.,кафедра,,dstu,0
КБ,конструкторське  бюро,Скорочується також у заголовку опису,dstu,0
кв.,квартал,При цифрах,dstu,0
квіт.,квітень,,dstu,0
кер.,керівник,,dstu,0
керівн.,під керівництвом під,,dstu,0
кіберн.,кібернетичний,,dstu,0
кінематогр.,кінематографія,,dstu,0
кіровогр.,кіровоградський,,dstu,0
кл.,клас,,dstu,0
класиф.,класифікація,,dstu,0
класич.,класичний,,dstu,0
клін.-експерим.,клініко-експериментальний,,dstu,0
клініч.,клінічний,,dstu,0
кн.,"книга (книжка, книжечка)",,dstu,0
книгозн.,книгознавство,,dstu,0
коеф.,коефіцієнт,,dstu,0
кол. авт.,колектив авторів,,dstu,0
колоніал.,колоніальний,,dstu,0
ком.,комітет,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
комент.,коментар,,dstu,0
комерц.,комерція,,dstu,0
коміс.,комісія,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
коміч.,комічний,,dstu,0
комп.,композитор,При прізвищі,dstu,1
комп'ют.,комп'ютер,,dstu,0
комп'ют. наб.,комп'ютерний набір,,dstu,0
компенс.,компенсація,,dstu,0
композ.,композиція,,dstu,0
конгр.,конгрес,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
конф.,конференція,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
концеп.,концепція,,dstu,0
кооп.,кооперація,,dstu,0
коп.,копія,,dstu,0
кор.,кореспондент,,dstu,0
корпор.,корпорація,,dstu,0
косм.,космічний,,dstu,0
крб,карбованець,При цифрах,dstu,0
кресл.,креслення,,dstu,0
крим.,кримський,,dstu,0
кримін.,кримінальний,,dstu,0
кримськотатар.,кримськотатарський,,dstu,0
критич.,критичний,,dstu,0
ксерокоп.,ксерокопія,,dstu,0
КСП,колективне сільськогосподарське підприємство,,dstu,0
культ.,культурний,,dstu,0
кф,кінофільм,,dstu,0
л-ра,література,,dstu,0
Л.,Львів,В області вихідних даних,dstu,0
лаб.,лабораторія,,dstu,0
латин.,латинський,,dstu,0
лекс.,лексичний,,dstu,0
лип.,липень,,dstu,0
листоп.,листопад,,dstu,0
лібр.,лібретто,,dstu,0
лікар.,лікарський,,dstu,0
лікув.,лікувальний,,dstu,0
лінгв.,лінгвістичний,,dstu,0
лірич.,ліричний,,dstu,0
літ.,літературний,,dstu,0
літогр.,літографія,,dstu,0
луган.,луганський,,dstu,0
луц.,луцький,,dstu,0
львів.,львівський,,dstu,0
лют.,лютий,,dstu,0
м-б,масштаб,,dstu,0
м-во,міністерство,Скорочується також у заголовку опису,dstu,0
м.,місто,При назві,dstu,1
М.,Москва,В області вихідних даних,dstu,0
магістрал.,магістральний,,dstu,0
макс.,максимальний,,dstu,0
мал.,малюнок,,dstu,0
мат.,математичний,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
матер.,матеріальний,,dstu,0
машинобуд.,машинобудування,,dstu,0
мед.,медичний,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
меліор.,меліоративний,,dstu,0
мемор.,меморіальний,,dstu,0
менедж.,менеджмент,,dstu,0
металоріз.,металорізальний,,dstu,0
метод.,методичний,"Скорочується також у заголовку опису, якщо не є першим словом заголовка",dstu,0
